epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28278.9,1.31571,0.81281,0.97957,0.65651,0.39642,0.43615,0.24313,1.27044,0.72493,0.94851,0.005842,0.005842,0.005842
44,28935.3,1.3182,0.81293,0.97902,0.66509,0.39274,0.43628,0.24315,1.2699,0.72413,0.94815,0.005743,0.005743,0.005743
45,29591.6,1.31548,0.81103,0.97858,0.6616,0.39319,0.43698,0.2437,1.26944,0.72343,0.94797,0.005644,0.005644,0.005644
46,30247.9,1.31595,0.8114,0.97729,0.66214,0.39367,0.43737,0.24391,1.26898,0.72286,0.94771,0.005545,0.005545,0.005545
47,30904.6,1.31166,0.80853,0.97716,0.66259,0.39557,0.43761,0.24429,1.26849,0.72231,0.94747,0.005446,0.005446,0.005446
48,31561,1.31121,0.80689,0.97613,0.66326,0.39495,0.43856,0.24467,1.26798,0.72175,0.94713,0.005347,0.005347,0.005347
49,32216.8,1.31074,0.80663,0.97706,0.65741,0.39689,0.43872,0.24502,1.26742,0.72118,0.94682,0.005248,0.005248,0.005248
50,32872.8,1.30954,0.80501,0.97594,0.65468,0.39933,0.43958,0.24533,1.26683,0.72057,0.94649,0.005149,0.005149,0.005149
51,33528.6,1.30941,0.80538,0.9758,0.6529,0.39943,0.44031,0.24572,1.26633,0.72001,0.94626,0.00505,0.00505,0.00505
52,34185.4,1.30846,0.80436,0.97618,0.65581,0.3991,0.44066,0.24619,1.26587,0.71937,0.94604,0.004951,0.004951,0.004951
53,34841,1.30834,0.80266,0.97528,0.64914,0.40088,0.44009,0.24634,1.26532,0.71878,0.94583,0.004852,0.004852,0.004852
54,35497.6,1.30408,0.80031,0.97433,0.64838,0.40345,0.44115,0.24696,1.26481,0.7182,0.9457,0.004753,0.004753,0.004753
55,36153.5,1.30849,0.80295,0.97525,0.64993,0.40338,0.44138,0.24686,1.26435,0.71771,0.94544,0.004654,0.004654,0.004654
56,36809.8,1.30419,0.79896,0.97388,0.64899,0.40616,0.44288,0.24763,1.26381,0.71702,0.94513,0.004555,0.004555,0.004555
57,37466.3,1.30325,0.79843,0.97385,0.65165,0.40462,0.44326,0.24783,1.26337,0.71653,0.94491,0.004456,0.004456,0.004456
